,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,price,beds,baths,parking,title,address,propertyType,status,bond,Coordinates,Latitude,Longitude
49,49,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1545,16084811,370.0,2,1,1,$370,"14/115 Neerim Road, Glen Huntly VIC 3163",Apartment / Unit / Flat,new,1608.0,"('-37.886832839024386', '145.0413227707317')",-37.886832839024386,145.0413227707317
50,50,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1608,15077749,420.0,3,2,1,$420,"5 Winds Walk, Greenvale VIC 3059",House,recentlyUpdated,1825.0,Just do it by hand,J,u
51,51,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1641,16084429,430.0,4,2,2,$430.00,"9 Honeyeater Drive, Winter Valley VIC 3358",House,new,1863.0,"('-37.9988232', '145.2923581')",-37.9988232,145.2923581
52,52,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1659,16084381,450.0,4,2,2,$450 Per Week,"387 Blackforest Road, Werribee VIC 3030",House,new,1955.0,"('-38.1074237', '145.3248177')",-38.1074237,145.3248177
53,53,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1671,16084348,620.0,2,1,1,$620.00,"311/23 Osullivan Road, Glen Waverley VIC 3150",Apartment / Unit / Flat,new,2694.0,"('-36.0738117', '144.652243')",-36.0738117,144.652243
54,54,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1678,15844428,320.0,2,1,0,$320,"925 Fuller Road, Foster VIC 3960",House,recentlyUpdated,1386.0,"('-37.8648124', '145.068001')",-37.8648124,145.068001
55,55,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1712,16084197,440.0,3,1,1,$440.00,"59 Eagle View Crescent, Bell Post Hill VIC 3215",House,new,1912.0,Just do it by hand,J,u
56,56,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1758,16084037,405.0,4,2,2,$405 pw,"78 Cottonfield Way, Brookfield VIC 3338",House,new,1760.0,"('-37.8477309', '144.6972333')",-37.8477309,144.6972333
57,57,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1779,16083992,450.0,4,2,2,$450,"13 Mountleigh Circle, Craigieburn VIC 3064",House,new,1955.0,Just do it by hand,J,u
58,58,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1804,15255512,410.0,5,2,1,$410,"14 Bellfield Court, Wyndham Vale VIC 3024",House,recentlyUpdated,1782.0,"('-37.8825773', '144.6157625')",-37.8825773,144.6157625
59,59,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1823,16083837,550.0,3,1,1,"$550pw/$2,390pcm","13 Brenda Court, Nunawading VIC 3131",House,new,2390.0,"('-38.4113291', '145.425881')",-38.4113291,145.425881
60,60,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1851,16083768,500.0,4,2,2,$500 per week,"2 Creekview Way, Cranbourne West VIC 3977",House,new,2173.0,"('-37.8846799', '144.6194073')",-37.8846799,144.6194073
61,61,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1869,16083724,400.0,4,2,2,$400 per week,"37 Gershwin Court, Point Cook VIC 3030",Townhouse,live,1738.0,Just do it by hand,J,u
62,62,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1873,16083710,320.0,2,1,1,$320.00 Per Week,"8/107 St Killians Street, Bendigo VIC 3550",Apartment / Unit / Flat,new,1390.0,Just do it by hand,J,u
63,63,1917,1917,1917,1917,1917,1917,1917,1917,1917,1917,1917,1917,1917,1926,16083572,370.0,1,1,1,$370.00,"3/14 The Esplanade Null, Clifton Hill VIC 3068",Apartment / Unit / Flat,new,1608.0,Just do it by hand,J,u
64,64,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1928,16083563,400.0,3,1,2,$400,"13 Burnett Court, Yarragon VIC 3823",House,new,1733.0,"('-37.8222253', '145.2393736')",-37.8222253,145.2393736
65,65,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1976,13098750,570.0,4,2,2,$570 p.w.,"24 Swanston Street, Clyde North VIC 3978",House,recentlyUpdated,2447.0,"('-38.1486481', '144.36829905400674')",-38.1486481,144.36829905400674
66,66,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1983,16083400,350.0,3,2,1,$350 per week/$1521 PCM,"22 Field Street, Wyndham Vale VIC 3024",House,new,1521.0,"('-37.8704609', '144.6029543')",-37.8704609,144.6029543
67,67,2061,2061,2061,2061,2061,2061,2061,2061,2061,2061,2061,2061,2061,2070,16082979,430.0,2,1,1,$430,"33/25 Isparta Mews, Roxburgh Park VIC 3064",Townhouse,new,1864.0,Just do it by hand,J,u
68,68,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2075,2084,16082930,375.0,3,2,2,$375 per week,"3 Seventh Mews, Bacchus Marsh VIC 3340",House,live,1625.0,"('-37.6949069', '144.4148559')",-37.6949069,144.4148559
69,69,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182,2192,16082557,475.0,3,2,2,$475 per week,"4 Cassinia Boulevard, Bacchus Marsh VIC 3340",House,live,2058.0,"('-37.6869536', '144.4183013')",-37.6869536,144.4183013
70,70,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2193,16082553,370.0,3,1,2,$370,"915 Prices Lane, Ombersley VIC 3241",House,live,1607.0,"('-38.2376668', '143.8408025')",-38.2376668,143.8408025
71,71,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2207,16082498,380.0,2,1,2,$380,"3 Everitt Street, Glenroy VIC 3046",House,live,1651.0,"('-37.7142992', '144.9412515')",-37.7142992,144.9412515
72,72,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2303,16082189,850.0,3,2,2,$850 weekly,"21 Maple Walk, Moonee Ponds VIC 3039",Townhouse,live,3694.0,Just do it by hand,J,u
73,73,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2309,16082170,450.0,4,2,2,$450.00,"50 Verdale Drive, Alfredton VIC 3350",House,live,1950.0,"('-37.8287372', '145.2075599')",-37.8287372,145.2075599
74,74,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2320,16082109,520.0,4,2,2,$520.00,"37 Mullingar Drive, Alfredton VIC 3350",House,live,2253.0,Just do it by hand,J,u
75,75,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,2322,11383785,330.0,1,1,1,$330.00 per week,"3/5 Waterfern Grove, Greenvale VIC 3059",House,live,1434.0,Just do it by hand,J,u
76,76,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315,2326,11705031,420.0,4,2,1,$420 Per Week,"8 Caleb Way, Plumpton VIC 3335",House,live,1825.0,"('-37.7154112', '144.7225975')",-37.7154112,144.7225975
77,77,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2342,16082038,475.0,3,2,2,$475,"13 Bookleaf Road, Botanic Ridge VIC 3977",Townhouse,live,2064.0,Just do it by hand,J,u
78,78,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2345,16082032,410.0,2,1,1,$410 per week,"1/14 Airey Street, Manifold Heights VIC 3218",Apartment / Unit / Flat,live,1781.0,"('-38.1406189', '144.3351976')",-38.1406189,144.3351976
79,79,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352,2363,16081971,750.0,3,1,1,$750,"3/5 The Aveue, Windsor VIC 3181",Apartment / Unit / Flat,new,3259.0,Just do it by hand,J,u
80,80,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2364,16081967,550.0,3,1,1,$550 per week,"House1B View Street, Pascoe Vale VIC 3044",House,live,2390.0,Just do it by hand,J,u
81,81,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2389,16081875,525.0,4,2,2,$525.00 per week,"22 Fawkner Crescent, Armstrong Creek VIC 3217",House,live,2281.0,"('-37.7501131', '144.8634702')",-37.7501131,144.8634702
82,82,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2452,15498583,200.0,1,1,1,$200pw / $869,"Room B 1115 Plenty Road, Bundoora VIC 3083",House,live,869.0,Just do it by hand,J,u
