Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Kanumbra,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Kerrisdale,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Killingworth,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Kinglake,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Kinglake Central,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Kinglake West,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Koriella,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Limestone,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Maintongoon,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Marysville,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Molesworth,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Murrindindi,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Narbethong,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Pheasant Creek,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Rubicon,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Strath Creek,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Taggerty,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Taylor Bay,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Terip Terip,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Thornton,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Toolangi,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Whanregarwen,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Yarck,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Yea,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Adams Estate,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Almurta,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Anderson,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Archies Creek,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Bass,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Cape Paterson,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Cape Woolamai,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Churchill Island,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Corinella,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Coronet Bay,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Cowes,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Dalyston,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Glen Alvie,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Glen Forbes,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Grantville,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Harmers Haven,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Inverloch,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Jam Jerrup,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Kernot,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Kilcunda,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Krowera,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Lance Creek,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Newhaven,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
North Wonthaggi,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Pioneer Bay,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Queensferry,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Rhyll,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Ryanston,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
San Remo,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Silverleaves,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Smiths Beach,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
South Dudley,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
St Clair,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Summerlands,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Sunderland Bay,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Sunset Strip,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Surf Beach,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
Tenby Point,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
The Gurdies,BASS COAST,March,"2,748.10",861,"5,684.50",,,"1,781","2,228","7,111.20","1,174","3,747.10"
